,zfygpa,zgpa,DOB_yr,isPartTime,sex,race,cluster_tier,family_income,lsat,ugpa,pass_bar,weighted_lsat_ugpa
59,-0.45,-0.04,68.0,No,Male,White,6.0,4.0,36.0,3.9,Passed,800.526298
60,-1.14,-0.93,67.0,No,Male,Other,4.0,4.0,34.0,2.5,Failed_or_not_attempted,628.9473519999999
61,0.27,-0.98,67.0,No,Male,White,4.0,3.0,35.0,3.8,Passed,774.736825
62,-0.67,-0.28,68.0,No,Male,Other,5.0,3.0,35.0,3.1,Passed,704.736825
63,-1.5,-2.18,67.0,No,Male,White,6.0,4.0,36.0,3.9,Passed,800.526298
64,-1.06,-1.13,67.0,No,Male,White,4.0,3.0,42.0,3.3,Passed,835.2631359999999
65,1.66,1.52,66.0,No,Female,White,4.0,3.0,30.0,3.7,Passed,685.78946
66,0.6,1.72,69.0,No,Female,White,5.0,3.0,25.0,3.7,Passed,606.842095
67,-0.37,-1.04,69.0,No,Female,White,5.0,3.0,31.5,3.6,Passed,699.4736695
68,-0.93,-1.29,64.0,No,Male,White,5.0,3.0,28.0,2.8,Failed_or_not_attempted,564.210514
69,0.82,0.72,68.0,No,Male,White,4.0,5.0,40.0,3.2,Passed,793.6841900000001
70,0.34,0.0,69.0,No,Male,White,6.0,3.0,45.0,3.7,Passed,922.6315549999999
71,-0.64,-0.12,68.0,No,Female,White,3.0,4.0,40.0,3.5,Passed,823.68419
72,0.44,0.53,69.0,No,Female,White,4.0,3.0,41.0,3.7,Passed,859.473663
73,0.96,0.45,69.0,No,Female,White,3.0,3.0,34.0,3.5,Passed,728.9473519999999
74,0.33,0.0,69.0,No,Female,White,4.0,3.0,36.0,3.8,Failed_or_not_attempted,790.526298
75,-1.57,0.0,67.0,No,Male,White,4.0,4.0,32.0,3.5,Failed_or_not_attempted,697.368406
76,0.45,0.22,69.0,No,Male,White,4.0,4.0,39.0,3.4,Passed,797.8947169999999
77,-0.45,-0.27,67.0,No,Female,Other,5.0,5.0,38.0,3.0,Passed,742.105244
78,-0.16,-0.19,66.0,No,Male,White,6.0,5.0,41.0,3.2,Passed,809.473663
79,0.55,0.08,64.0,No,Female,Other,2.0,4.0,31.0,3.3,Passed,661.578933
80,-0.03,-0.28,68.0,No,Female,White,6.0,3.0,42.0,3.6,Passed,865.263136
81,0.16,0.63,69.0,No,Female,White,3.0,4.0,34.0,3.2,Passed,698.947352
82,0.0,0.94,66.0,Yes,Female,White,4.0,3.0,36.0,3.8,Passed,790.526298
83,0.0,0.0,69.0,No,Male,White,3.0,4.0,37.0,3.5,Failed_or_not_attempted,776.315771
84,-0.11,-0.23,69.0,No,Male,White,3.0,3.0,37.0,3.0,Passed,726.315771
85,0.81,-0.3,67.0,No,Male,White,3.0,3.0,42.0,2.3,Passed,735.2631359999999
86,0.45,0.23,69.0,No,Male,White,3.0,4.0,36.0,3.3,Passed,740.526298
87,1.05,0.62,69.0,No,Male,White,3.0,3.0,42.0,3.0,Passed,805.263136
88,1.34,1.41,55.0,Yes,Male,White,3.0,2.0,40.0,3.5,Passed,823.68419
90,0.81,1.37,67.0,No,Female,Black,1.0,2.0,29.0,2.8,Passed,579.9999869999999
91,-0.39,-0.35,68.0,No,Male,White,3.0,4.0,36.0,3.3,Passed,740.526298
92,0.91,1.2,49.0,No,Male,White,3.0,4.0,36.0,2.9,Passed,700.526298
93,-0.33,-0.3,61.0,No,Female,White,3.0,4.0,37.0,2.7,Passed,696.315771
94,0.31,-0.01,65.0,No,Female,White,4.0,5.0,35.0,3.1,Passed,704.736825
95,-0.38,-0.83,65.0,No,Female,White,4.0,3.0,41.0,3.4,Failed_or_not_attempted,829.473663
96,0.0,0.0,54.0,Yes,Female,White,3.0,5.0,32.0,3.6,Failed_or_not_attempted,707.368406
97,0.1,-0.18,64.0,No,Male,White,3.0,4.0,42.0,2.9,Passed,795.2631359999999
98,-0.91,-0.57,67.0,No,Female,White,6.0,4.0,33.5,3.4,Passed,711.0526155
99,-1.02,-1.33,67.0,No,Female,Other,4.0,3.0,32.0,3.0,Passed,647.368406
100,0.12,-0.13,69.0,No,Female,White,2.0,4.0,36.0,3.7,Passed,780.526298
101,-0.95,-0.8,67.0,No,Female,White,6.0,4.0,34.5,3.3,Passed,716.8420884999999
102,-1.26,-1.02,69.0,No,Female,White,2.0,4.0,32.0,3.0,Passed,647.368406
103,0.91,1.26,68.0,No,Male,White,2.0,4.0,35.0,3.3,Passed,724.736825
104,1.31,0.64,68.0,No,Female,White,4.0,2.0,34.0,2.9,Passed,668.9473519999999
105,0.96,0.0,52.0,No,Male,White,2.0,3.0,33.0,3.3,Failed_or_not_attempted,693.157879
106,0.05,-0.68,68.0,No,Male,Other,1.0,2.0,27.0,3.1,Passed,578.4210410000001
107,0.36,1.23,61.0,Yes,Male,White,5.0,3.0,39.0,3.4,Passed,797.8947169999999
108,-0.44,-1.01,68.0,No,Male,White,5.0,4.0,40.0,3.5,Passed,823.68419
109,-1.36,0.0,66.0,No,Male,Black,1.0,1.0,19.5,2.9,Failed_or_not_attempted,439.99999349999996
110,-0.88,-1.14,69.0,No,Male,White,2.0,4.0,32.0,3.9,Passed,737.3684059999999
111,-0.37,-0.19,61.0,Yes,Male,White,4.0,2.0,41.0,3.0,Failed_or_not_attempted,789.473663
112,-0.64,-1.1,58.0,No,Female,White,4.0,3.0,42.0,3.3,Passed,835.2631359999999
113,0.8,1.53,56.0,Yes,Male,White,5.0,3.0,35.0,2.9,Passed,684.736825
114,-0.36,-0.08,70.0,No,Female,Black,1.0,2.0,34.0,2.9,Passed,668.9473519999999
115,-0.98,-1.72,69.0,No,Female,White,4.0,4.0,38.0,3.2,Passed,762.105244
116,0.29,0.78,57.0,No,Female,White,4.0,3.0,39.0,3.3,Failed_or_not_attempted,787.8947169999999
117,-0.84,-0.93,63.0,No,Male,White,4.0,3.0,42.0,3.4,Passed,845.2631359999999
118,0.0,0.0,52.0,Yes,Female,White,4.0,3.0,36.0,3.5,Failed_or_not_attempted,760.526298
119,-1.16,0.0,69.0,Yes,Female,White,3.0,4.0,34.0,3.0,Failed_or_not_attempted,678.9473519999999
120,-0.4,-0.46,69.0,No,Female,White,4.0,4.0,38.0,3.6,Passed,802.105244
121,-0.65,-0.59,68.0,No,Female,White,4.0,3.0,37.0,3.2,Passed,746.315771
122,-2.12,0.0,68.0,No,Male,White,6.0,4.0,40.0,3.6,Failed_or_not_attempted,833.6841900000001
123,-0.42,-0.92,68.0,No,Male,White,5.0,3.0,43.0,3.5,Failed_or_not_attempted,871.052609
124,0.02,0.33,67.0,No,Male,White,6.0,3.0,41.0,3.8,Passed,869.473663
125,1.04,0.64,68.0,No,Female,White,3.0,3.0,32.0,3.1,Passed,657.368406
126,-1.13,-1.49,55.0,No,Female,White,3.0,4.0,29.0,2.8,Failed_or_not_attempted,579.9999869999999
127,0.55,1.01,65.0,No,Male,White,4.0,4.0,40.0,3.4,Passed,813.68419
128,0.61,-0.27,67.0,No,Male,White,3.0,3.0,37.0,2.7,Passed,696.315771
130,-0.31,-0.35,70.0,No,Female,Other,6.0,3.0,44.0,3.4,Passed,876.842082
131,0.89,0.94,58.0,No,Male,White,2.0,4.0,41.0,3.4,Passed,829.473663
132,0.35,0.35,62.0,No,Female,White,6.0,4.0,42.0,3.8,Passed,885.2631359999999
133,0.43,0.73,65.0,No,Female,White,5.0,3.0,41.5,3.2,Passed,817.3683995
134,-1.13,-0.94,68.0,No,Male,White,3.0,4.0,41.0,2.9,Passed,779.473663
135,-0.41,0.46,67.0,No,Male,White,5.0,3.0,40.0,3.8,Passed,853.68419
136,1.54,-0.82,62.0,No,Female,White,5.0,2.0,28.3,3.1,Passed,598.9473559
137,-0.91,-1.55,56.0,Yes,Male,Black,5.0,1.0,23.5,3.1,Failed_or_not_attempted,523.1578855
138,0.2,-1.06,68.0,No,Male,White,3.0,5.0,38.0,2.8,Passed,722.105244
139,-0.18,-0.39,69.0,No,Female,White,4.0,4.0,40.0,3.2,Passed,793.6841900000001
140,0.26,-0.09,62.0,No,Male,White,4.0,3.0,25.0,2.6,Passed,496.84209500000003
141,-0.02,-0.74,67.0,No,Male,White,4.0,2.0,25.0,2.7,Passed,506.84209500000003
142,0.48,-0.04,69.0,No,Female,Other,1.0,2.0,28.0,3.5,Failed_or_not_attempted,634.210514
143,-0.84,-1.19,67.0,No,Female,White,2.0,4.0,33.0,3.5,Failed_or_not_attempted,713.157879
144,0.0,0.0,68.0,No,Female,Other,6.0,3.0,44.0,3.6,Passed,896.842082
145,0.09,-0.01,69.0,No,Female,White,4.0,3.0,36.0,3.5,Passed,760.526298
146,0.77,0.74,69.0,No,Female,White,3.0,3.0,48.0,3.4,Passed,939.999974
147,0.57,0.0,65.0,No,Male,White,2.0,2.0,33.0,2.7,Failed_or_not_attempted,633.157879
148,-0.03,-0.64,54.0,No,Male,White,3.0,2.0,34.5,3.0,Passed,686.8420885
149,0.0,0.0,61.0,Yes,Male,White,5.0,2.0,38.0,2.5,Failed_or_not_attempted,692.105244
150,-0.02,0.65,69.0,No,Male,White,3.0,5.0,41.0,3.2,Passed,809.473663
151,-1.83,0.0,69.0,No,Female,Black,5.0,4.0,25.5,2.6,Failed_or_not_attempted,504.7368315
152,0.01,-0.13,69.0,No,Female,White,3.0,3.0,34.0,2.8,Passed,658.9473519999999
153,0.41,0.32,51.0,No,Female,White,1.0,3.0,24.0,3.2,Passed,541.052622
154,0.0,-1.78,69.0,No,Female,White,3.0,3.0,41.0,2.8,Passed,769.473663
155,1.27,1.0,68.0,No,Male,White,3.0,4.0,35.5,3.8,Passed,782.6315615
156,0.3,-0.05,64.0,No,Male,White,3.0,3.0,33.0,2.0,Passed,563.157879
158,-0.16,-0.5,67.0,No,Female,Black,3.0,3.0,28.0,2.3,Passed,514.210514
159,0.3,0.34,69.0,No,Female,White,3.0,2.0,31.0,3.5,Passed,681.578933
160,0.48,0.35,69.0,No,Female,White,4.0,3.0,41.0,3.8,Passed,869.473663
161,-2.43,0.0,67.0,No,Female,Other,4.0,2.0,33.5,2.5,Failed_or_not_attempted,621.0526155
162,0.14,-0.65,69.0,No,Female,White,5.0,5.0,35.5,3.1,Passed,712.6315615
163,-0.11,0.0,67.0,No,Male,Black,1.0,3.0,33.0,2.7,Failed_or_not_attempted,633.157879
164,-0.54,-0.33,66.0,No,Female,White,2.0,2.0,31.0,3.7,Passed,701.578933
165,-1.68,0.0,59.0,No,Female,Black,1.0,3.0,24.0,2.8,Failed_or_not_attempted,501.052622
166,2.06,2.27,66.0,No,Male,White,2.0,4.0,31.0,3.7,Failed_or_not_attempted,701.578933
167,0.51,0.09,61.0,No,Female,White,3.0,4.0,44.0,2.1,Passed,746.842082
168,0.45,0.44,69.0,No,Female,White,3.0,3.0,36.0,3.6,Passed,770.526298
169,-0.25,-0.05,69.0,No,Male,White,4.0,5.0,36.0,3.1,Passed,720.526298
170,-1.26,-1.42,62.0,No,Male,White,4.0,3.0,44.0,3.7,Passed,906.842082
171,-1.03,-1.85,67.0,No,Male,White,5.0,2.0,44.0,2.7,Passed,806.842082
172,0.37,-0.1,69.0,No,Male,White,3.0,4.0,32.0,3.0,Passed,647.368406
173,0.09,0.08,68.0,No,Male,White,4.0,3.0,42.0,3.5,Passed,855.263136
174,-0.91,-0.82,69.0,No,Male,White,2.0,3.0,33.0,2.8,Passed,643.157879
175,-0.19,1.07,68.0,No,Male,Black,1.0,4.0,31.0,3.1,Passed,641.578933
176,0.45,-0.5,64.0,Yes,Male,White,4.0,4.0,34.0,3.6,Passed,738.947352
177,1.34,0.64,67.0,No,Male,White,4.0,4.0,39.0,3.3,Passed,787.8947169999999
178,0.27,-0.14,67.0,No,Female,White,4.0,3.0,33.0,3.7,Passed,733.157879
179,0.4,-0.37,66.0,No,Male,White,4.0,3.0,42.0,3.7,Passed,875.263136
180,0.34,0.35,67.0,No,Male,White,3.0,4.0,41.0,3.0,Passed,789.473663
181,0.0,0.4,69.0,No,Male,White,4.0,3.0,33.0,3.6,Passed,723.157879
182,-1.36,0.0,69.0,No,Female,Black,4.0,3.0,26.0,3.2,Failed_or_not_attempted,572.631568
183,-0.92,-1.86,56.0,Yes,Female,White,4.0,3.0,34.0,3.3,Failed_or_not_attempted,708.9473519999999
184,-0.81,-0.36,56.0,Yes,Male,White,3.0,4.0,43.0,2.5,Passed,771.052609
185,0.69,0.82,69.0,No,Female,White,3.0,4.0,36.0,3.3,Failed_or_not_attempted,740.526298
186,1.08,0.98,69.0,No,Male,White,3.0,3.0,37.0,3.7,Passed,796.315771
187,1.49,1.14,67.0,No,Male,White,3.0,3.0,40.0,2.7,Passed,743.6841900000001
188,0.0,0.0,62.0,No,Male,White,4.0,4.0,35.0,3.4,Failed_or_not_attempted,734.736825
189,0.66,0.0,69.0,No,Male,White,6.0,5.0,45.0,3.4,Passed,892.6315549999999
190,0.76,0.94,64.0,No,Female,White,3.0,4.0,35.0,3.0,Passed,694.736825
192,1.39,1.6,65.0,No,Female,White,3.0,2.0,38.0,3.6,Passed,802.105244
193,0.0,0.0,64.0,No,Female,White,3.0,3.0,41.0,3.0,Failed_or_not_attempted,789.473663
194,0.39,0.24,67.0,No,Female,White,3.0,4.0,34.0,3.3,Passed,708.9473519999999
195,-0.68,-0.8,66.0,No,Male,White,3.0,3.0,39.0,3.6,Failed_or_not_attempted,817.894717
196,0.26,0.62,68.0,No,Male,White,4.0,4.0,42.0,3.8,Passed,885.2631359999999
197,-1.17,0.0,69.0,No,Female,White,4.0,4.0,43.0,3.5,Failed_or_not_attempted,871.052609
198,0.44,1.08,67.0,No,Female,White,4.0,4.0,47.0,2.5,Passed,834.210501
199,-1.03,-1.78,66.0,No,Female,Other,5.0,4.0,40.0,3.1,Passed,783.6841900000001
200,0.02,-0.07,52.0,No,Female,White,4.0,4.0,34.0,2.8,Passed,658.9473519999999
201,-0.2,-0.57,70.0,No,Female,White,3.0,4.0,34.0,3.5,Passed,728.9473519999999
202,0.7,0.89,67.0,No,Male,White,3.0,4.0,38.0,3.0,Passed,742.105244
203,-0.52,-0.76,53.0,Yes,Male,White,3.0,3.0,33.0,3.1,Passed,673.157879
204,0.39,0.73,66.0,No,Male,White,3.0,4.0,37.0,2.9,Passed,716.3157709999999
205,0.19,0.3,66.0,No,Female,White,3.0,4.0,37.0,3.6,Passed,786.315771
206,-0.54,-0.44,68.0,No,Male,White,2.0,3.0,34.0,3.2,Passed,698.947352
207,0.23,0.11,69.0,No,Male,Other,5.0,4.0,39.0,3.5,Passed,807.8947169999999
208,0.8,0.64,69.0,No,Male,White,4.0,4.0,40.0,3.7,Passed,843.6841900000001
209,2.18,2.0,70.0,No,Female,White,5.0,4.0,42.0,3.9,Passed,895.2631359999999
210,-0.58,-0.69,67.0,No,Female,White,2.0,4.0,26.0,3.1,Passed,562.631568
211,-1.82,-1.27,67.0,No,Male,White,4.0,4.0,40.0,3.0,Passed,773.68419
212,-0.08,-0.6,69.0,No,Female,White,5.0,4.0,33.0,3.5,Passed,713.157879
213,-2.51,-1.5,67.0,No,Male,White,2.0,4.0,34.0,3.0,Passed,678.9473519999999
214,0.52,0.0,70.0,No,Female,White,5.0,4.0,42.0,3.0,Passed,805.263136
215,0.74,0.0,66.0,No,Male,White,3.0,4.0,38.0,3.4,Passed,782.105244
216,-0.51,-0.27,68.0,Yes,Male,White,2.0,4.0,37.0,2.4,Passed,666.3157709999999
217,-1.59,-0.82,69.0,No,Male,White,3.0,4.0,42.0,3.3,Passed,835.2631359999999
218,0.04,0.0,66.0,No,Male,White,3.0,4.0,33.0,3.6,Failed_or_not_attempted,723.157879
219,-0.84,-1.09,68.0,No,Male,Other,6.0,3.0,48.0,3.2,Passed,919.999974
220,-0.4,-0.75,66.0,No,Male,White,1.0,4.0,25.5,2.5,Passed,494.7368315
221,-0.16,-0.37,69.0,No,Female,White,4.0,3.0,40.0,3.9,Passed,863.68419
222,0.66,1.57,62.0,No,Female,White,4.0,4.0,40.0,4.0,Passed,873.68419
223,0.85,0.37,65.0,No,Male,White,3.0,4.0,35.5,3.4,Passed,742.6315615
224,1.58,1.24,67.0,No,Male,White,3.0,2.0,33.0,3.8,Passed,743.157879
225,0.0,0.0,69.0,No,Male,White,3.0,4.0,41.0,3.5,Failed_or_not_attempted,839.473663
227,0.33,-0.01,69.0,No,Female,White,4.0,4.0,34.0,3.7,Passed,748.947352
228,1.01,0.41,69.0,No,Female,White,3.0,4.0,33.0,3.4,Passed,703.157879
229,0.0,0.0,67.0,No,Female,White,6.0,4.0,37.7,3.1,Passed,747.3684021
230,-0.15,-0.03,61.0,No,Female,White,4.0,3.0,44.0,3.5,Passed,886.842082
231,-1.1,-0.73,66.0,No,Female,White,3.0,3.0,37.0,2.4,Passed,666.3157709999999
232,0.61,0.4,67.0,No,Female,White,3.0,4.0,38.0,3.3,Passed,772.105244
233,0.12,0.4,69.0,No,Female,White,4.0,4.0,41.0,3.4,Passed,829.473663
234,0.45,0.59,69.0,No,Male,White,4.0,4.0,35.0,3.7,Passed,764.736825
236,0.55,0.65,69.0,No,Female,White,6.0,4.0,40.0,3.8,Passed,853.68419
237,1.49,1.56,66.0,Yes,Male,White,3.0,3.0,40.0,2.7,Passed,743.6841900000001
238,1.21,1.22,64.0,No,Male,White,4.0,3.0,37.0,3.6,Passed,786.315771
239,0.39,-0.39,66.0,No,Male,White,3.0,4.0,36.0,2.6,Passed,670.526298
240,1.57,1.72,65.0,No,Male,White,4.0,5.0,44.0,3.3,Passed,866.842082
241,0.82,1.52,65.0,No,Male,White,5.0,3.0,37.0,3.3,Passed,756.3157709999999
242,-1.17,0.0,63.0,No,Female,Other,4.0,1.0,30.0,3.0,Failed_or_not_attempted,615.78946
243,1.02,2.04,55.0,Yes,Female,White,3.0,4.0,37.0,3.4,Passed,766.3157709999999
244,-0.79,-1.75,63.0,No,Female,White,3.0,4.0,32.3,2.5,Passed,602.1052479
245,-1.73,0.0,67.0,No,Female,White,5.0,4.0,36.0,2.8,Failed_or_not_attempted,690.526298
246,-1.59,-1.42,63.0,No,Male,Other,4.0,2.0,29.0,3.3,Passed,629.9999869999999
247,-0.12,0.03,65.0,No,Female,White,4.0,4.0,40.0,2.7,Passed,743.6841900000001
248,-0.21,0.01,68.0,No,Male,White,3.0,4.0,33.0,3.2,Passed,683.157879
249,0.4,0.51,67.0,No,Male,White,3.0,3.0,40.0,3.8,Passed,853.68419
250,-0.24,0.1,64.0,No,Female,White,3.0,4.0,33.0,2.7,Passed,633.157879
251,-1.07,-0.94,67.0,No,Male,Other,6.0,2.0,43.0,3.6,Passed,881.052609
252,0.0,0.0,68.0,No,Male,White,6.0,4.0,39.0,3.7,Failed_or_not_attempted,827.894717
253,1.28,-0.85,68.0,Yes,Male,White,4.0,4.0,26.0,2.6,Failed_or_not_attempted,512.631568
254,0.17,0.0,68.0,No,Male,White,3.0,4.0,42.0,2.9,Passed,795.2631359999999
255,-0.37,-0.15,63.0,No,Female,White,3.0,4.0,32.0,3.3,Passed,677.3684059999999
256,0.15,0.32,69.0,No,Female,White,5.0,4.0,35.5,3.7,Passed,772.6315615
257,1.34,-0.78,54.0,Yes,Female,White,3.0,3.0,32.0,3.4,Passed,687.3684059999999
258,-0.86,-1.09,65.0,No,Male,White,3.0,4.0,46.0,2.9,Passed,858.421028
259,0.14,0.57,67.0,No,Male,White,4.0,3.0,40.0,3.0,Passed,773.68419
260,1.34,1.42,68.0,No,Female,White,4.0,4.0,35.0,3.4,Passed,734.736825
261,2.72,-0.36,66.0,No,Male,White,6.0,4.0,46.0,2.2,Passed,788.421028
262,0.96,0.3,66.0,No,Male,White,4.0,3.0,38.0,3.0,Passed,742.105244
263,0.0,0.0,64.0,Yes,Male,Other,2.0,2.0,26.0,2.8,Failed_or_not_attempted,532.631568
264,-0.25,0.39,49.0,No,Male,White,5.0,3.0,36.0,3.9,Passed,800.526298
265,0.34,0.55,69.0,No,Female,White,2.0,4.0,33.5,3.1,Passed,681.0526155
266,-2.23,0.0,68.0,No,Male,Other,3.0,4.0,31.5,2.8,Failed_or_not_attempted,619.4736694999999
267,0.0,0.0,61.0,No,Female,White,3.0,3.0,39.0,3.5,Passed,807.8947169999999
268,-0.56,-0.01,69.0,No,Female,White,3.0,3.0,32.0,3.5,Passed,697.368406
269,-0.67,-1.3,68.0,No,Male,White,3.0,4.0,31.5,3.6,Passed,699.4736695
270,-0.96,-0.96,66.0,No,Female,White,3.0,3.0,39.0,3.2,Failed_or_not_attempted,777.894717
271,0.55,0.7,69.0,No,Male,White,5.0,2.0,42.0,3.4,Passed,845.2631359999999
272,0.19,0.45,69.0,No,Female,White,4.0,4.0,41.0,3.2,Passed,809.473663
273,-0.25,-1.04,69.0,No,Female,White,5.0,3.0,46.0,3.8,Passed,948.421028
274,0.22,0.18,69.0,No,Female,White,4.0,4.0,38.0,3.6,Passed,802.105244
275,0.0,0.0,69.0,No,Male,Other,5.0,3.0,42.0,2.8,Passed,785.2631359999999
276,0.82,1.09,63.0,No,Female,White,3.0,4.0,42.0,3.2,Passed,825.263136
278,-1.06,-0.7,67.0,Yes,Male,White,4.0,4.0,35.5,3.2,Passed,722.6315615
279,0.0,0.0,62.0,No,Male,White,1.0,3.0,29.0,3.0,Passed,599.9999869999999
280,-1.51,-1.76,67.0,No,Female,White,5.0,4.0,33.5,3.8,Failed_or_not_attempted,751.0526155
281,1.19,0.44,65.0,Yes,Male,White,3.0,3.0,34.0,3.3,Passed,708.9473519999999
282,-0.5,-1.36,67.0,No,Female,Other,3.0,2.0,32.0,2.7,Passed,617.368406
283,-0.37,0.67,69.0,No,Male,White,3.0,4.0,32.0,3.1,Passed,657.368406
284,-1.13,-0.58,69.0,No,Female,White,3.0,4.0,42.0,3.3,Passed,835.2631359999999
285,0.63,0.76,67.0,No,Female,White,6.0,2.0,41.0,4.0,Passed,889.473663
286,-0.12,-0.63,69.0,No,Male,White,3.0,4.0,36.0,2.9,Passed,700.526298
287,1.19,1.7,68.0,No,Male,White,3.0,3.0,33.0,3.1,Passed,673.157879
288,1.0,0.48,67.0,No,Male,Black,1.0,3.0,23.0,2.8,Passed,485.263149
